CustomerID,Recency,Frequency,Monetary,AOV,MedianDaysBetween,Monetary_log,Recency_log,KM_Cluster,PC1,PC2,Segment
12346,326,1,77183.6,77183.6,,11.253955234248428,5.7899601708972535,1,1.229098290695384,1.5452519111753775,Loyal Customers
12347,2,7,4310.0,23.68131868131868,0.0,8.368925174747135,1.0986122886681098,1,2.166996173420761,-1.1989934172783738,Loyal Customers
12348,75,4,1797.24,57.97548387096774,0.0,7.494563687769957,4.330733340286331,2,0.2163647842178795,0.3984400643892843,Potential Loyalists
12349,19,1,1757.55,24.07602739726028,0.0,7.472244884833674,2.995732273553991,2,0.5178853565399734,-0.6271297103719924,Potential Loyalists
12350,310,1,334.40000000000003,19.67058823529412,0.0,5.815323849389109,5.739792912179234,0,-1.391166350072947,0.7978163730459685,Champions
12352,36,8,2506.04,29.482823529411764,0.0,7.826858053356098,3.610917912644224,2,0.9675143739480307,0.3085539381050845,Potential Loyalists
12353,204,1,89.0,22.25,0.0,4.499809670330265,5.3230099791384085,0,-1.8620743844082397,0.3746676042451759,Champions
12354,232,1,1079.4,18.610344827586207,0.0,6.985086621918461,5.4510384535657,0,-0.7070082507340686,0.7791711314703947,Champions
12355,214,1,459.4,35.338461538461544,0.0,6.132095676847728,5.3706380281276624,0,-1.0887709448892997,0.6185020608563648,Champions
12356,23,3,2811.43,47.65135593220339,0.0,7.941804157314053,3.1780538303479458,2,0.8224937721659961,-0.3072927171080615,Potential Loyalists
12357,33,1,6207.67,47.38679389312977,0.0,8.733701981297274,3.5263605246161616,2,0.9167204650039754,-0.142925864639178,Potential Loyalists
12358,2,2,1168.06,61.47684210526315,0.0,7.063955286074528,1.0986122886681098,1,1.1583569064169776,-1.74287979223532,Loyal Customers
12359,58,4,6372.58,25.6958870967742,0.0,8.759916600117213,4.07753744390572,2,0.9326179450722746,0.4137008876736444,Potential Loyalists
12360,52,3,2662.06,20.63612403100775,0.0,7.887231116540211,3.970291913552122,2,0.4770848807624215,0.1600050394195183,Potential Loyalists
12361,287,1,189.9,18.99,0.0,5.251749730731702,5.662960480135946,0,-1.6338532593892872,0.6774601378236786,Champions
12362,3,10,5226.2300000000005,19.64748120300752,0.0,8.56163678004062,1.3862943611198906,1,2.3697973097360348,-0.7782200336854261,Loyal Customers
12363,110,2,552.0,24.0,0.0,6.315358001522335,4.709530201312334,0,-0.6586544088634049,0.3210678096334439,Champions
12364,8,4,1313.1,15.448235294117646,0.0,7.180907299649593,2.19722457733622,2,0.92292349634248,-0.9207585530630874,Potential Loyalists
12365,291,2,641.38,29.15363636363636,0.0,6.465180028897591,5.676753802268282,0,-0.9752693740376656,0.9201308510160052,Champions
12367,4,1,168.9,15.354545454545455,0.0,5.135210028677887,1.6094379124341005,2,-0.0586970596358597,-1.7656941630892946,Potential Loyalists
12370,51,4,3545.69,21.231676646706585,0.0,8.173770053153254,3.951243718581428,2,0.6988826372792633,0.2607432886133039,Potential Loyalists
12371,45,2,1887.96,29.96761904761905,0.0,7.543781692052325,3.828641396489095,2,0.2923459441104769,-0.0444875584160322,Potential Loyalists
12372,72,3,1298.04,24.962307692307693,0.0,7.169380809114136,4.290459441148391,2,-0.0003146589952501,0.2570745768823601,Potential Loyalists
12373,311,1,364.6,26.042857142857144,0.0,5.901539839579995,5.7430031878094825,0,-1.3506007154529345,0.8111115251404394,Champions
12374,25,1,742.9300000000001,22.513030303030305,0.0,6.61194694438522,3.258096538021482,2,-0.0054040367481088,-0.5834700782686841,Potential Loyalists
12375,11,2,457.5,26.91176470588235,0.0,6.127960291696519,2.4849066497880004,2,0.1458810315273087,-1.0360480239202887,Potential Loyalists
12377,315,2,1628.12,21.144415584415587,0.0,7.395795270713971,5.755742213586912,0,-0.555251626219213,1.0901933422029049,Champions
12378,130,1,4008.62,18.30420091324201,0.0,8.29645175271804,4.875197323201151,2,0.1614639809341851,0.6072588821986122,Potential Loyalists
12379,82,2,852.24,21.306,0.0,6.749040867823617,4.418840607796598,2,-0.3310846367816736,0.2041701068979623,Potential Loyalists
12380,22,4,2724.81,26.20009615384616,0.0,7.910520910634419,3.1354942159291497,2,0.8994531040104556,-0.2625588882122068,Potential Loyalists
12381,5,5,1845.31,21.21045977011494,0.0,7.520944331624911,1.791759469228055,1,1.3262458668331325,-1.0444008053359135,Loyal Customers
12383,185,5,1850.56,18.69252525252525,0.0,7.523783805985769,5.225746673713202,2,-0.0547193193800055,1.0126965484417054,Potential Loyalists
12384,29,2,585.27,21.676666666666662,0.0,6.373780434317173,3.4011973816621555,2,-0.1036238704599931,-0.4548275384177941,Potential Loyalists
12386,338,2,401.9,40.19,0.0,5.998688392197302,5.82600010738045,0,-1.2618301525603446,0.9479860473553524,Champions
12388,16,6,2780.6600000000003,27.806600000000003,0.0,7.930803150780257,2.833213344056216,1,1.181012812383713,-0.2922279048103705,Loyal Customers
12390,80,1,549.84,17.1825,0.0,6.311444385858925,4.394449154672439,0,-0.6087344059337787,0.0574890724259078,Champions
12391,22,1,460.89,4.6089,0.0,6.1353267674944725,3.1354942159291497,2,-0.1874501809412519,-0.7197695809188767,Potential Loyalists
12393,72,4,1582.6,24.728125,0.0,7.367456015231975,4.290459441148391,2,0.1708660865980905,0.3575524805237038,Potential Loyalists
12394,64,2,1272.48,47.12888888888889,0.0,7.149508589545504,4.174387269895637,2,-0.0382531404479518,0.1105834690737886,Potential Loyalists
12395,19,12,3018.63,19.350192307692307,0.0,8.012889586306857,2.995732273553991,1,1.6055347718727857,0.2620409154780961,Loyal Customers
12397,36,2,2409.9,19.12619047619048,0.0,7.7877554007552545,3.610917912644224,2,0.4984394451529002,-0.1427073658063546,Potential Loyalists
